total ratings,growth (30 days),growth (60 days),price,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,average rating
294708,0.2,0.4,0,194903,45471,19753,8702,25877,4.27
282749,0,0.1,0,189857,46146,23996,6930,15818,4.37
276996,0,0,0,186192,33365,18596,8124,30717,4.21
274235,0.5,1.3,0,194695,43443,12515,6727,16853,4.43
267278,0.1,0.5,0,197485,54778,10325,1865,2823,4.65
259649,0.6,1.2,0,203767,25302,11667,6012,12899,4.54
259355,1.4,2.8,0,197295,23514,6517,4181,27845,4.38
254357,0.4,1,0,201149,19660,10893,6291,16360,4.51
253597,2.3,4.3,0,182725,33730,12210,6120,18810,4.4
252406,0.9,2,0,230419,9902,3954,1793,6335,4.81
236843,1.3,2.6,0,160741,36216,10826,7118,21940,4.29
227922,0.2,0.5,0,180762,12754,9755,4957,19691,4.45
223393,2.5,5.2,0,147106,20793,12841,9124,33526,4.07
217335,0.6,1.3,0,183715,8874,5396,2478,16869,4.56
211859,10.1,22.4,0,163153,11334,8950,5898,22522,4.35
206300,0.2,0.4,0,158982,31185,8750,2866,4514,4.63
204295,6.4,19.1,0,146764,32385,10297,3590,11256,4.47
198534,6.5,13.9,0,175060,9717,4744,2486,6524,4.73
195082,2.1,5,0,131997,20385,13564,6494,22640,4.19
192768,1.9,4.6,0,118188,28403,14142,9796,22237,4.09
191039,2.7,6.3,0,141982,11168,5861,3967,28059,4.23
186288,1.6,2.9,0,156286,6201,3021,1814,18963,4.5
185206,1.9,3.4,0,126059,35591,15005,3018,5531,4.48
182925,0,0.1,0,114344,11178,9498,5539,42364,3.82
182457,0.2,0.5,0,114198,27619,13179,8689,18769,4.15
175678,0.2,0.3,0,123134,10298,7945,4302,29998,4.09
175383,0.1,0.2,0,114173,37441,11074,3328,9365,4.39
174986,1,1.8,0,126431,14308,9286,5131,19828,4.27
165123,2.8,7.9,0,137759,11970,4244,2489,8658,4.62
162168,0,0,0,115060,26941,9353,2808,8004,4.47
153253,1.7,3.6,0,105501,25607,10717,3492,7933,4.42
150210,4.1,9.1,0,106642,14192,8739,5053,15581,4.27
149105,15,30.4,0,125696,5478,4910,3370,9648,4.57
145823,1.2,2.9,0,125960,5830,3677,2013,8341,4.64
143869,4.7,9.9,0,101786,14166,8502,4669,14744,4.28
143565,0,0.1,0,92301,17788,12417,5411,15646,4.15
138804,0.8,1.6,0,104877,25249,5085,1533,2057,4.65
136193,6.7,15.6,0,93277,14631,8742,5309,14232,4.23
134349,0,0,0,82044,34240,10359,2744,4959,4.38
133033,1.4,2.9,0,97866,9935,6656,4095,14479,4.3
126650,0.1,0.4,0,68153,21284,16316,4858,16036,3.95
116320,0,0,0,74055,16364,10363,4762,10773,4.19
111317,0.5,0.5,0,69436,14523,6556,3528,17271,4.04
111047,0.2,0.3,0,66708,11294,7706,4897,20440,3.89
109878,6.1,11.5,0,74315,19208,7772,2103,6478,4.39
109101,0,0.1,0,72389,12983,8377,3143,12207,4.19
104728,0,0,0,73648,25459,3329,1049,1239,4.62
104558,3.8,7.8,0,83048,9467,3357,1624,7060,4.53
103890,0.5,0.9,0,63403,13852,8674,4367,13592,4.05
102930,1.1,2.6,0,92461,4295,2027,929,3216,4.77
101713,0.9,1.8,0,70873,6115,4916,3177,16629,4.1
100137,0,0.1,0,68495,12682,7061,2562,9335,4.28
99924,0.4,0.7,0,67221,12430,6504,2823,10944,4.22
98898,0.3,0.6,0,63985,17116,6866,3283,7645,4.28
97628,3.2,6.4,0,67743,13474,6677,2525,7206,4.35
97507,1.7,3.7,0,71134,12522,2913,1237,9698,4.38
97432,1.6,3.2,0,68369,9214,5156,2838,11852,4.23
96784,0,0.1,0,69024,13635,7012,2483,4628,4.45
94983,30,88.3,0,72273,13796,3129,1346,4437,4.56
93219,0.6,1.3,0,82594,2693,1212,646,6072,4.66
92307,0.1,0.2,0,51992,14387,8518,3209,14198,3.94
92272,15539.3,0.3,0,60808,9219,5783,3805,12655,4.1
91395,2.8,5.3,0,63844,8225,5410,3104,10810,4.22
2095571,0.5,1.2,0,1533255,214021,101552,53016,193725,4.36
1756400,0.2,0.6,0,962204,189700,103402,72602,428489,3.67
